Year,County,Vehicle_Miles,Country,State
2019,BAKER,311300000,USA,OREGON
2018,BAKER,309400000,USA,OREGON
2017,BAKER,297000000,USA,OREGON
2016,BAKER,295900000,USA,OREGON
2015,BAKER,282400000,USA,OREGON
2014,BAKER,262500000,USA,OREGON
2013,BAKER,259800000,USA,OREGON
2012,BAKER,255700000,USA,OREGON
2011,BAKER,254900000,USA,OREGON
2010,BAKER,262700000,USA,OREGON
2009,BAKER,258800000,USA,OREGON
2008,BAKER,253800000,USA,OREGON
2007,BAKER,274400000,USA,OREGON
2006,BAKER,271700000,USA,OREGON
2005,BAKER,270900000,USA,OREGON
2004,BAKER,265300000,USA,OREGON
2003,BAKER,270000000,USA,OREGON
2002,BAKER,265900000,USA,OREGON
2001,BAKER,264700000,USA,OREGON
2000,BAKER,263700000,USA,OREGON
1999,BAKER,260400000,USA,OREGON
1998,BAKER,251500000,USA,OREGON
1997,BAKER,251600000,USA,OREGON
1996,BAKER,236000000,USA,OREGON
1995,BAKER,244000000,USA,OREGON
1994,BAKER,234600000,USA,OREGON
1993,BAKER,228400000,USA,OREGON
1992,BAKER,227300000,USA,OREGON
1991,BAKER,203100000,USA,OREGON
2019,BENTON,262000000,USA,OREGON
2018,BENTON,263200000,USA,OREGON
2017,BENTON,253500000,USA,OREGON
2016,BENTON,252600000,USA,OREGON
2015,BENTON,250200000,USA,OREGON
2014,BENTON,237900000,USA,OREGON
2013,BENTON,238500000,USA,OREGON
2012,BENTON,246800000,USA,OREGON
2011,BENTON,241900000,USA,OREGON
2010,BENTON,240700000,USA,OREGON
2009,BENTON,239000000,USA,OREGON
2008,BENTON,239100000,USA,OREGON
2007,BENTON,256400000,USA,OREGON
2006,BENTON,258100000,USA,OREGON
2005,BENTON,255900000,USA,OREGON
2004,BENTON,261900000,USA,OREGON
2003,BENTON,263800000,USA,OREGON
2002,BENTON,260500000,USA,OREGON
2001,BENTON,256800000,USA,OREGON
2000,BENTON,254800000,USA,OREGON
1999,BENTON,258200000,USA,OREGON
1998,BENTON,253300000,USA,OREGON
1997,BENTON,251100000,USA,OREGON
1996,BENTON,233800000,USA,OREGON
1995,BENTON,226100000,USA,OREGON
1994,BENTON,224300000,USA,OREGON
1993,BENTON,222800000,USA,OREGON
1992,BENTON,222400000,USA,OREGON
1991,BENTON,218200000,USA,OREGON
2019,CLACKAMAS,1866000000,USA,OREGON
2018,CLACKAMAS,1887600000,USA,OREGON
2017,CLACKAMAS,1894500000,USA,OREGON
2016,CLACKAMAS,1892100000,USA,OREGON
2015,CLACKAMAS,1827600000,USA,OREGON
2014,CLACKAMAS,1771900000,USA,OREGON
2013,CLACKAMAS,1749000000,USA,OREGON
2012,CLACKAMAS,1754100000,USA,OREGON
2011,CLACKAMAS,1758500000,USA,OREGON
2010,CLACKAMAS,1768500000,USA,OREGON
2009,CLACKAMAS,1692100000,USA,OREGON
2008,CLACKAMAS,1667700000,USA,OREGON
2007,CLACKAMAS,1768300000,USA,OREGON
2006,CLACKAMAS,1778200000,USA,OREGON
2005,CLACKAMAS,1750300000,USA,OREGON
2004,CLACKAMAS,1742600000,USA,OREGON
2003,CLACKAMAS,1762000000,USA,OREGON
2002,CLACKAMAS,1760000000,USA,OREGON
2001,CLACKAMAS,1720800000,USA,OREGON
2000,CLACKAMAS,1721300000,USA,OREGON
1999,CLACKAMAS,1680400000,USA,OREGON
1998,CLACKAMAS,1644700000,USA,OREGON
1997,CLACKAMAS,1631700000,USA,OREGON
1996,CLACKAMAS,1567400000,USA,OREGON
1995,CLACKAMAS,1515600000,USA,OREGON
1994,CLACKAMAS,1486200000,USA,OREGON
1993,CLACKAMAS,1428700000,USA,OREGON
1992,CLACKAMAS,1410600000,USA,OREGON
1991,CLACKAMAS,1369600000,USA,OREGON
2019,CLATSOP,374500000,USA,OREGON
2018,CLATSOP,369100000,USA,OREGON
2017,CLATSOP,366100000,USA,OREGON
2016,CLATSOP,375000000,USA,OREGON
2015,CLATSOP,361100000,USA,OREGON
2014,CLATSOP,344700000,USA,OREGON
2013,CLATSOP,337700000,USA,OREGON
2012,CLATSOP,330500000,USA,OREGON
2011,CLATSOP,317700000,USA,OREGON
2010,CLATSOP,325500000,USA,OREGON
2009,CLATSOP,344000000,USA,OREGON
2008,CLATSOP,333600000,USA,OREGON
2007,CLATSOP,343600000,USA,OREGON
2006,CLATSOP,343000000,USA,OREGON
2005,CLATSOP,335200000,USA,OREGON
2004,CLATSOP,347700000,USA,OREGON
2003,CLATSOP,341900000,USA,OREGON
2002,CLATSOP,334100000,USA,OREGON
2001,CLATSOP,327400000,USA,OREGON
2000,CLATSOP,319800000,USA,OREGON
1999,CLATSOP,319300000,USA,OREGON
1998,CLATSOP,317500000,USA,OREGON
1997,CLATSOP,313300000,USA,OREGON
1996,CLATSOP,299300000,USA,OREGON
1995,CLATSOP,287800000,USA,OREGON
1994,CLATSOP,280600000,USA,OREGON
1993,CLATSOP,284400000,USA,OREGON
1992,CLATSOP,269400000,USA,OREGON
1991,CLATSOP,271300000,USA,OREGON
2019,COLUMBIA,279400000,USA,OREGON
2018,COLUMBIA,263000000,USA,OREGON
2017,COLUMBIA,255500000,USA,OREGON
2016,COLUMBIA,250400000,USA,OREGON
2015,COLUMBIA,242000000,USA,OREGON
2014,COLUMBIA,229700000,USA,OREGON
2013,COLUMBIA,235200000,USA,OREGON
2012,COLUMBIA,232600000,USA,OREGON
2011,COLUMBIA,237000000,USA,OREGON
2010,COLUMBIA,242200000,USA,OREGON
2009,COLUMBIA,251100000,USA,OREGON
2008,COLUMBIA,247500000,USA,OREGON
2007,COLUMBIA,265400000,USA,OREGON
2006,COLUMBIA,257100000,USA,OREGON
2005,COLUMBIA,246300000,USA,OREGON
2004,COLUMBIA,241300000,USA,OREGON
2003,COLUMBIA,254500000,USA,OREGON
2002,COLUMBIA,253700000,USA,OREGON
2001,COLUMBIA,248000000,USA,OREGON
2000,COLUMBIA,248300000,USA,OREGON
1999,COLUMBIA,244900000,USA,OREGON
1998,COLUMBIA,239400000,USA,OREGON
1997,COLUMBIA,233500000,USA,OREGON
1996,COLUMBIA,226700000,USA,OREGON
1995,COLUMBIA,222600000,USA,OREGON
1994,COLUMBIA,205400000,USA,OREGON
1993,COLUMBIA,198400000,USA,OREGON
1992,COLUMBIA,199000000,USA,OREGON
1991,COLUMBIA,203700000,USA,OREGON
2019,COOS,316300000,USA,OREGON
2018,COOS,319000000,USA,OREGON
2017,COOS,299700000,USA,OREGON
2016,COOS,298000000,USA,OREGON
2015,COOS,288000000,USA,OREGON
2014,COOS,295600000,USA,OREGON
2013,COOS,289400000,USA,OREGON
2012,COOS,288300000,USA,OREGON
2011,COOS,277600000,USA,OREGON
2010,COOS,284800000,USA,OREGON
2009,COOS,286100000,USA,OREGON
2008,COOS,311300000,USA,OREGON
2007,COOS,334300000,USA,OREGON
2006,COOS,341100000,USA,OREGON
2005,COOS,345700000,USA,OREGON
2004,COOS,349500000,USA,OREGON
2003,COOS,346800000,USA,OREGON
2002,COOS,341400000,USA,OREGON
2001,COOS,335700000,USA,OREGON
2000,COOS,332100000,USA,OREGON
1999,COOS,378100000,USA,OREGON
1998,COOS,373600000,USA,OREGON
1997,COOS,373700000,USA,OREGON
1996,COOS,359900000,USA,OREGON
1995,COOS,351400000,USA,OREGON
1994,COOS,347700000,USA,OREGON
1993,COOS,369900000,USA,OREGON
1992,COOS,375200000,USA,OREGON
1991,COOS,381300000,USA,OREGON
2019,CROOK,118200000,USA,OREGON
2018,CROOK,115800000,USA,OREGON
2017,CROOK,113700000,USA,OREGON
2016,CROOK,111500000,USA,OREGON
2015,CROOK,102600000,USA,OREGON
2014,CROOK,100800000,USA,OREGON
2013,CROOK,98300000,USA,OREGON
2012,CROOK,93800000,USA,OREGON
2011,CROOK,90000000,USA,OREGON
2010,CROOK,92000000,USA,OREGON
2009,CROOK,91900000,USA,OREGON
2008,CROOK,92100000,USA,OREGON
2007,CROOK,97700000,USA,OREGON
2006,CROOK,98500000,USA,OREGON
2005,CROOK,96600000,USA,OREGON
2004,CROOK,106700000,USA,OREGON
2003,CROOK,105500000,USA,OREGON
2002,CROOK,108800000,USA,OREGON
2001,CROOK,107300000,USA,OREGON
2000,CROOK,105700000,USA,OREGON
1999,CROOK,94800000,USA,OREGON
1998,CROOK,93100000,USA,OREGON
1997,CROOK,91400000,USA,OREGON
1996,CROOK,89000000,USA,OREGON
1995,CROOK,85200000,USA,OREGON
1994,CROOK,85100000,USA,OREGON
1993,CROOK,86700000,USA,OREGON
1992,CROOK,85800000,USA,OREGON
1991,CROOK,84200000,USA,OREGON
2019,CURRY,127900000,USA,OREGON
2018,CURRY,130700000,USA,OREGON
2017,CURRY,131000000,USA,OREGON
2016,CURRY,130000000,USA,OREGON
2015,CURRY,126000000,USA,OREGON
2014,CURRY,119600000,USA,OREGON
2013,CURRY,117600000,USA,OREGON
2012,CURRY,115500000,USA,OREGON
2011,CURRY,114100000,USA,OREGON
2010,CURRY,118500000,USA,OREGON
2009,CURRY,118800000,USA,OREGON
2008,CURRY,121000000,USA,OREGON
2007,CURRY,128100000,USA,OREGON
2006,CURRY,130400000,USA,OREGON
2005,CURRY,140700000,USA,OREGON
2004,CURRY,144800000,USA,OREGON
2003,CURRY,137500000,USA,OREGON
2002,CURRY,132400000,USA,OREGON
2001,CURRY,131300000,USA,OREGON
2000,CURRY,129700000,USA,OREGON
1999,CURRY,140400000,USA,OREGON
1998,CURRY,138400000,USA,OREGON
1997,CURRY,138500000,USA,OREGON
1996,CURRY,139000000,USA,OREGON
1995,CURRY,136800000,USA,OREGON
1994,CURRY,139900000,USA,OREGON
1993,CURRY,142700000,USA,OREGON
1992,CURRY,140300000,USA,OREGON
1991,CURRY,135200000,USA,OREGON
2019,DESCHUTES,759800000,USA,OREGON
2018,DESCHUTES,760100000,USA,OREGON
2017,DESCHUTES,732500000,USA,OREGON
2016,DESCHUTES,721200000,USA,OREGON
2015,DESCHUTES,674600000,USA,OREGON
2014,DESCHUTES,655000000,USA,OREGON
2013,DESCHUTES,643600000,USA,OREGON
2012,DESCHUTES,618600000,USA,OREGON
2011,DESCHUTES,627600000,USA,OREGON
